Palavra;Peso;Classe favorecida
1h;-0.2456542149981484;Verdadeira
1h30;-0.11795308648797555;Verdadeira
1o;-0.7953586792455992;Verdadeira
20;0.06868918858690828;Fake
200;0.0429314292476103;Fake
2000;-0.11413942929285875;Verdadeira
2001;-0.19379430110325074;Verdadeira
2002;0.14502547634517218;Fake
2003;0.2375415121707957;Fake
2004;-0.10445909695411223;Verdadeira
2005;-0.03455964786246849;Verdadeira
2006;0.22623643669605922;Fake
2007;-0.11456399115676014;Verdadeira
2008;0.08757836336123179;Fake
2009;0.105623119088189;Fake
201;-0.04426596357570272;Verdadeira
2010;-5.8049430772872254e-05;Verdadeira
2011;-0.358295710893997;Verdadeira
2012;0.12939866794631588;Fake
2013;-0.3520655818943217;Verdadeira
2014;-0.3230868141787064;Verdadeira
2015;0.0192087674012788;Fake
2016;-0.007036146204867872;Verdadeira
2017;-0.4912153299480236;Verdadeira
2018;0.29011952133337937;Fake
2019;-0.20263069429467812;Verdadeira
2020;-0.24194964347297496;Verdadeira
2021;-0.11621967516556894;Verdadeira
2022;-0.06725174530106974;Verdadeira
2023;-0.056385731776876336;Verdadeira
2024;-0.09862265954212353;Verdadeira
2025;0.011352068256239382;Fake
2027;0.01678119769447731;Fake
2030;-0.031766843805319536;Verdadeira
205;0.05579260171292339;Fake
2050;-0.009023304396871806;Verdadeira
206;0.0;Neutra
207;-0.0068668567904627865;Verdadeira
208;-0.04460402655952838;Verdadeira
209;-0.0020834737160548276;Verdadeira
20h;0.0016116088984584915;Fake
20h30;-0.1661402045929301;Verdadeira
21;0.08275596643704433;Fake
210;0.11753609283380943;Fake
2100;-0.024159249825214807;Verdadeira
211;-0.04286854442462726;Verdadeira
213;-0.03646169588601632;Verdadeira
214;0.02484688055729802;Fake
215;-0.012170784770115;Verdadeira
216;0.00048394461156323195;Fake
218;-0.033827576688723715;Verdadeira
21a;0.005664724064558874;Fake
21h;-0.09851077510361911;Verdadeira
21h30;-0.00826857979713121;Verdadeira
21h40;-4.336808689942018e-19;Verdadeira
22;-0.3999795678075039;Verdadeira
220;-0.0046669509605354155;Verdadeira
221;-0.0034713254533227673;Verdadeira
222;-0.042360986341630644;Verdadeira
225;-0.013687543488187391;Verdadeira
227;-0.08028697294808895;Verdadeira
228;0.0;Neutra
22h;-0.14900943247904244;Verdadeira
22h30;-0.012943340591144843;Verdadeira
22h40;-0.056378167203697704;Verdadeira
23;-0.18619024946195967;Verdadeira
